"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Indexabilité","Statut d'indexabilité"
"https://vintagefrenchart.com/","1","Vintage French Art | Brocante en Ligne & Antiquaire Castres (Tarn 81)","69","618","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","1","Bol verre de Murano Flavio Poli | Design italien vintage","56","483","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","1","Jouets Vintage et jeux de Collection  | Vintage French Art","58","503","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","1","Plaque émaillée ancienne ODO double face | Publicité vintage","60","549","","0","0","Indexable",""
"https://vintagefrenchart.com/boutique/","1","Boutique  | Vintage French Art","30","261","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/plaque-ancienne-pub-vintage/","1","Plaques anciennes et publicité Vintage  | Vintage French Art","60","528","","0","0","Indexable",""
"https://vintagefrenchart.com/plan-du-site/","1","plan du site | Vintage French Art | Brocante Castres","52","454","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/arts-table/","1","Arts de la table  | Vintage French Art","38","317","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/luminaire/","1","Luminaires  | Vintage French Art","32","282","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/decoration-vintage/","1","Décoration vintage  | Vintage French Art","40","350","","0","0","Indexable",""
"https://vintagefrenchart.com/blog/","1","Blog | Vintage French Art","25","221","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/meuble-ancien/","1","Meuble ancien  | Vintage French Art","35","312","","0","0","Indexable",""
"https://vintagefrenchart.com/mentions-legales-et-politique-de-confidentialite/","1","Mentions légales et Politique de confidentialité | VFA","54","471","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/politique-de-cookie/","1","Politique de cookies | Vintage French Art | Brocante Castres","60","530","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/produit/hermes-belami-flacon-de-parfum-geant-brocante-en-ligne/","1","Flacon de parfum géant Hermès BelAmi | Collection luxe","54","503","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/montre-vintage/","1","Montres vintage - Montres de collection  | Vintage French Art","61","535","","0","0","Indexable",""
"https://vintagefrenchart.com/foire-aux-questions/","1","FAQ Brocante | Questions Frequentes | Vintage French Art","56","516","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/mode-luxe-vintage/","1","Mode Luxe vintage  | Vintage French Art","39","351","","0","0","Indexable",""
"https://vintagefrenchart.com/conditions-generales-utilisation/","1","Conditions générales d'utilisation | Vintage French Art","55","477","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","1","Objets d'art et décoration  | Vintage French Art","48","407","","0","0","Indexable",""
"https://vintagefrenchart.com/my-account/woo-wish-list/","1","My account | Vintage French Art","31","284","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/assises/","1","Chaise et fauteuil vintage  | Vintage French Art","48","410","","0","0","Indexable",""
"https://vintagefrenchart.com/conditions-generales-vente/","1","Conditions générales de vente | Vintage French Art | Brocante","61","547","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/presentation/","1","Qui Sommes-Nous | Vintage French Art, Brocanteur dans le Tarn","61","571","","0","0","Indexable",""
"https://vintagefrenchart.com/brocante-castres/","1","Brocante a Castres : Marches, Antiquaires & Foires | Guide Local","64","570","","0","0","Indexable",""
"https://vintagefrenchart.com/contact/","1","Contact | Vintage French Art, Brocanteur Castres (Tarn)","55","493","","0","0","Indexable",""
"https://vintagefrenchart.com/cart/","1","Cart | Vintage French Art","25","220","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/produit/vase-verre-emaille-bleu-cobalt-epoque-xixeme/","1","Vase verre émaillé bleu cobalt XIXème | Antiquité française","59","530","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/serre-livre-art-deco-faience/","1","Serre-livres Art Déco faïence | Paire de collection vintage","59","506","","0","0","Indexable",""
"https://vintagefrenchart.com/my-account/lost-password/","1","My account | Vintage French Art","31","284","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/produit/coupe-1900-edouard-stellmacher/","1","Coupe 1900 Edouard Stellmacher | Art Nouveau céramique","54","523","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/tableau-huile-sur-toile-arthur-foache-1871-1967/","1","Tableau huile sur toile Arthur Foache (1871-1967) | Peinture","60","532","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/joustra-le-chat-joueur/","1","Joustra Le Chat Joueur | Jouet mécanique vintage français","57","527","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/nina-ricci-flacon-de-parfum-geant-nina-brocante-en-ligne/","1","Flacon de parfum géant Nina Ricci NiNa | Vintage luxe","53","480","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/berrogaz-plaque-ancienne-publicitaire/","1","BERROGAZ : Plaque ancienne publicitaire | Vintage French Art","60","549","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/jouet-vintage-mont-blanc-oscar/","1","Montblanc Triporteur Oscar | Jouet vintage de collection","56","500","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/chocolat-menier-plaque-emaillee/","1","Plaque émaillée Chocolat Menier | Publicité vintage française","61","547","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/vanderbilt-flacon-de-parfum-geant-brocante-en-ligne/","1","Flacon de parfum géant Vanderbilt | Collection vintage","54","484","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaille-pepsi-cola/","1","Plaque émaillée ancienne Pepsi-Cola | Collection publicitaire","61","539","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/malt-kneipp-ancienne-plaque-publicitaire-laitiere-beuville/","1","Plaque Malt Kneipp La Laitière de Beuville | Rare publicité","59","513","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/ancienne-plaque-emaillee-jaz-horlogerie/","1","Plaque émaillée JAZ Réveil de Précision | Horlogerie vintage","60","538","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-ancienne-publicitaire-berrogaz/","1","Plaque publicitaire ancienne Berrogaz | Objet de collection","59","518","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-touring-club-france/","1","Plaque émaillée Touring Club de France circa 1940 | Rare","56","508","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-bureau-zig-zag-chan-shui-elite-annees-80/","1","Lampe Zig Zag Chan Shui pour Elite | Design années 80","53","491","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/arne-jacobsen-lampe-vintage-scandinave/","1","Lampe scandinave vintage 1950/60 style Arne Jacobsen","52","503","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-vintage-tizio-richard-sapper/","1","Lampe Tizio Richard Sapper | Design italien vintage","51","457","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-vedette-capiello/","1","Plaque émaillée Vedette par Cappiello | Art publicitaire","56","488","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-de-bureau-vintage-louis-christian-kalff-brocante-en-ligne/","1","Lampe de bureau vintage Louis Christian Kalff | Design 50s","58","526","","0","0","Indexable",""
"https://vintagefrenchart.com/boutique/page/2/","1","Boutique 2 | Vintage French Art","31","277","","0","0","Indexable",""
"https://vintagefrenchart.com/boutique/page/4/","1","Boutique 4 | Vintage French Art","31","277","","0","0","Indexable",""
"https://vintagefrenchart.com/boutique/page/5/","1","Boutique 5 | Vintage French Art","31","277","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/accolay-lampe-vintage-design-georges-pelletier-1960-70/","1","Lampe Accolay Georges Pelletier 1960/70 | Céramique vintage","59","559","","0","0","Indexable",""
"https://vintagefrenchart.com/boutique/page/3/","1","Boutique 3 | Vintage French Art","31","277","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-vintage-pneus-dunlop/","1","Plaque émaillée vintage Pneus Dunlop | Collection publicitaire","62","551","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-nestle-creme-de-gruyere/","1","Plaque émaillée Nestlé Crème de Gruyère | Collection vintage","60","549","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/roger-bezombes-plaque-emaillee/","1","Plaque émaillée signée Roger Bezombes | Art numéroté","52","498","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/coiffeuse-secretaire-vintage-scandinave-annees-60/","1","Coiffeuse Carina secrétaire scandinave années 60 | Vintage","58","531","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lot-chaise-design-mobilor-herbst/","1","Chaises Design René Herbst par Mobilor | Lot de 5 vintage","57","516","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/chaise-scandinave-fanett/","1","Chaises scandinaves Fanett Ilmari Tapiovaara | Design finlandais","64","579","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-art-deco-fer-forge-tulipes-muller-freres/","1","Lampe Art Déco fer forgé Müller Frères | Tulipes verre","54","480","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/hermes-foulard-vintage-soie/","1","Foulard Hermès vintage soie 1965 | Carré de collection","54","487","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-policris-barcelona/","1","Lampe Policris Barcelona vintage années 70 | Design espagnol","60","557","","0","0","Indexable",""
"https://vintagefrenchart.com/la-decoration-campagne-chic-pour-un-interieur-country/","1","Decoration Campagne Chic : 15 Idees pour un Interieur Country","61","559","","0","0","Indexable",""
"https://vintagefrenchart.com/comment-mettre-du-caractere-a-sa-decoration-boheme-chic/","1","Decoration Boheme Chic : Osez l'Originalite chez Vous","53","482","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/fauteuils-borsani-osvaldo/","1","Fauteuils Borsani Osvaldo vintage 70 | Design bureau italien","60","532","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/valentino-flacon-de-parfum-geant-brocante-en-ligne/","1","Flacon de parfum géant Valentino | Collection parfumerie","56","510","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/franz-xavier-bergmann-satyre-bacchante-sujets-bronze-erotique/","1","Bronze érotique Bergmann Satyre et Bacchante | Art viennois","59","543","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/vulcain-seau-a-champagne-original-luc-lanel-pour-christofle/","1","Seau à champagne Vulcain Luc Lanel Christofle | Art Déco","56","517","","0","0","Indexable",""
"https://vintagefrenchart.com/petit-tour-du-monde-des-marches-aux-puces/","1","Les Marches aux Puces les Plus Celebres du Monde | Top 10","57","539","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/sculpture-buste-terre-cuite-hauchecorne/","1","Sculpture buste terre cuite Hauchecorne | Art signé","51","455","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-veilleuse-brule-parfum-argilor/","1","Lampe veilleuse brûle-parfum Argilor | Art Déco français","56","500","","0","0","Indexable",""
"https://vintagefrenchart.com/origines-marche-aux-puces/","1","Pourquoi Dit-on Marche aux Puces ? Origine et Histoire","54","488","","0","0","Indexable",""
"https://vintagefrenchart.com/madrid-et-ses-marches-aux-puces/","1","Brocante a Madrid : 6 Marches aux Puces Incontournables","55","516","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/cendrier-jacques-adnet/","1","Cendrier sur pied Jacques Adnet | Design français vintage","57","514","","0","0","Indexable",""
"https://vintagefrenchart.com/realisez-une-decoration-vintage-a-votre-image/","1","Decoration Vintage : Tendances et Idees pour votre Interieur","60","536","","0","0","Indexable",""
"https://vintagefrenchart.com/seville-et-ses-marches/","1","Brocante a Seville : Marches aux Puces et Friperies","51","455","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/canif-couteau-de-poche-jean-jaures/","1","Canif Jean Jaurès couteau de poche | Collection politique","57","511","","0","0","Indexable",""
"https://vintagefrenchart.com/brocante-tarn/","2","Brocante et Vide-Greniers dans le Tarn (81) | Calendrier 2026","61","542","La brocante dans le Tarn","24","221","Indexable",""
"https://vintagefrenchart.com/produit/serre-livres-art-deco-1930/","1","Serre-livres Art Déco 1930 | Objet de collection vintage","56","485","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/brocante-en-ligne-montre-vintage-sicura/","1","Montre vintage Sicura | Collection horlogerie suisse","52","457","","0","0","Indexable",""
"https://vintagefrenchart.com/vide-greniers-castres/","2","Vide-Greniers a Castres (Tarn) | Dates, Lieux et Astuces 2026","61","545","Vide-greniers à Castres (Tarn)","30","269","Indexable",""
"https://vintagefrenchart.com/produit/vase-verre-emaille-mary-gregory/","1","Vase Mary Gregory verre émaillé XIXème | Antiquité verrerie","59","537","","0","0","Indexable",""
"https://vintagefrenchart.com/la-decoration-industrielle-pour-un-salon-dhistoire-et-daudace/","1","Decoration Industrielle : Creez un Salon Factory & Vintage","58","512","","0","0","Indexable",""
"https://vintagefrenchart.com/quoi-vendre-marche-aux-puces/","1","Quoi Vendre sur un Marche aux Puces ? 20 Idees Rentables","56","527","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/shaker-deauville/","1","Shaker Christofle Gallia Deauville Luc Lanel | Art Déco","55","480","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/fritz-diller-lampe-sculpture-circa-1930/","1","Lampe sculpture Fritz Diller circa 1930 | Art Déco allemand","59","523","","0","0","Indexable",""
"https://vintagefrenchart.com/le-marches-aux-puces-en-espagne/","1","Brocante en Espagne : Guide des Marches aux Puces Espagnols","59","567","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/lampe-de-table-art-deco/","1","Lampe de table Art Déco | Luminaire vintage français","52","474","","0","0","Indexable",""
"https://vintagefrenchart.com/estimation-antiquites-brocante-castres/","1","Estimation Gratuite d'Antiquites a Castres | Expert Brocante","60","531","","0","0","Indexable",""
"https://vintagefrenchart.com/7-astuces-restauration-meuble-ancien-brocante-castres/","1","Restaurer un Meuble Ancien : 7 Astuces de Brocanteur","52","484","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/vase-ceramique-jean-gerbino-vallauris/","1","Vase Art Déco Jean Gerbino Vallauris | Céramique mosaïque","57","540","","0","0","Indexable",""
"https://vintagefrenchart.com/la-deco-scandinave-un-design-nordique-incontournable-pour-votre-interieur/","1","Decoration Scandinave : Guide du Style Nordique chez Soi","56","514","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/omega-seamaster-automatic-montre-collection-1960/","1","Montre Omega Seamaster Automatic 1960 | Collection vintage","58","559","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/luminaires-vintage-ingo-maurer/","1","Lampe ressort Ingo Maurer années 70 | Design allemand vintage","61","574","","0","0","Indexable",""
"https://vintagefrenchart.com/antiquaire-castres/","1","Antiquaire a Castres (Tarn) | Estimation & Achat d'Antiquites","61","537","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/gueridon-vintage-table-appoint-design-scandinave-annee-60/","1","Guéridon vintage scandinave années 60 | Table d'appoint design","62","570","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/vase-imari-19eme-japon-original/","1","Vase Imari 19ème Japon | Antiquité porcelaine japonaise","55","508","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/assiette-multicolore-email-laiton/","1","Assiettes émail et laiton multicolores | Paire décorative","57","494","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/paire-vases-opaline-emaillee/","1","Paire vases opaline émaillée XIXème | Antiquités françaises","59","536","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/dior-foulard-vintage-soie/","1","Foulard Dior vintage soie 1970 | Mode luxe de collection","56","495","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/montre-de-collection-jaeger-lecoultre-montre-de-poche/","1","Montre Jaeger-LeCoultre 1930 gousset | Collection horlogerie","60","548","","0","0","Indexable",""
"https://vintagefrenchart.com/produit/camille-tharaud-vase-art-deco-porcelaine-de-limoges/","1","Vase Art Déco Camille Tharaud porcelaine Limoges | Signé","56","524","","0","0","Indexable",""
"https://vintagefrenchart.com/brocante-comment-devenir-bon-chineur/","1","Comment Devenir un Bon Chineur ? 7 Conseils de Brocanteur","57","543","","0","0","Indexable",""
"https://vintagefrenchart.com/histoire/","1","Histoire et anecdotes  | Vintage French Art","43","373","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/author/jean/","1","Jean Santos | Vintage French Art","32","293","","0","0","Indexable",""
"https://vintagefrenchart.com/author/micka-m-81/","1","Micka.M 81 | Vintage French Art","31","284","","0","0","Indexable",""
"https://vintagefrenchart.com/blog/page/2/","1","Blog | Vintage French Art","25","221","","0","0","Indexable",""
"https://vintagefrenchart.com/articles-brocante-monde/","1","Brocante dans le monde  | Vintage French Art","44","398","","0","0","Indexable",""
"https://vintagefrenchart.com/articles-brocante-espagne/","1","Brocante en Espagne  | Vintage French Art","41","370","","0","0","Indexable",""
"https://vintagefrenchart.com/articles-bon-a-savoir/","1","Bon à savoir  | Vintage French Art","34","291","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/decoration/","1","Décoration  | Vintage French Art","32","279","","0","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/page/2/","1","Objets d'art et décoration 2 | Vintage French Art","49","423","","0","0","Indexable",""
"https://vintagefrenchart.com/etiquette-produit/publicites-vintage/","1","publicités vintage  | Vintage French Art","40","339","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/collection/","1","collection  | Vintage French Art","32","268","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/design/","1","design  | Vintage French Art","28","241","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/annee70/","1","année70  | Vintage French Art","29","259","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/ingo-maurer/","1","Ingo Maurer  | Vintage French Art","33","289","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/lampe/","1","lampe  | Vintage French Art","27","238","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/luminaire/","1","luminaire  | Vintage French Art","31","266","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/sicura/","1","sicura  | Vintage French Art","28","236","","0","0","Non indexable","noindex"
"https://vintagefrenchart.com/etiquette-produit/montre-vintage/","1","montre vintage  | Vintage French Art","36","318","","0","0","Non indexable","noindex"
